								
Within each row, compare columns (simple effects within rows)								
								
Number of families	1							
Number of comparisons per family	618							
Alpha	0.05							
								
Šídák's multiple comparisons test	Predicted (LS) mean diff.	95.00% CI of diff.	Below threshold?	Summary	Adjusted P Value			
								
  P27747								
    Group A vs. Group B	0.1451	-3.213 to 3.503	No	ns	>0.9999			
    Group A vs. Group C	2.136	-1.977 to 6.249	No	ns	>0.9999			
    Group B vs. Group C	1.991	-2.122 to 6.104	No	ns	>0.9999			
								
  P28614								
    Group A vs. Group B	2.358	-1.001 to 5.716	No	ns	0.9701			
    Group A vs. Group C	3.362	-0.7515 to 7.475	No	ns	0.5482			
    Group B vs. Group C	1.004	-3.109 to 5.117	No	ns	>0.9999			
								
  P59927								
    Group A vs. Group B	-0.7354	-4.094 to 2.623	No	ns	>0.9999			
    Group A vs. Group C	-1.351	-5.464 to 2.762	No	ns	>0.9999			
    Group B vs. Group C	-0.6156	-4.729 to 3.498	No	ns	>0.9999			
								
  Q0JY17								
    Group A vs. Group B	0.6735	-2.685 to 4.032	No	ns	>0.9999			
    Group A vs. Group C	2.448	-1.665 to 6.561	No	ns	>0.9999			
    Group B vs. Group C	1.774	-2.339 to 5.888	No	ns	>0.9999			
								
  Q0JY52								
    Group A vs. Group B	0.7688	-2.590 to 4.127	No	ns	>0.9999			
    Group A vs. Group C	1.449	-2.665 to 5.562	No	ns	>0.9999			
    Group B vs. Group C	0.6798	-3.433 to 4.793	No	ns	>0.9999			
								
  Q0JY56								
    Group A vs. Group B	-0.6171	-3.975 to 2.741	No	ns	>0.9999			
    Group A vs. Group C	2.754	-1.359 to 6.867	No	ns	0.9942			
    Group B vs. Group C	3.371	-0.7419 to 7.484	No	ns	0.5367			
								
  Q0JYC5								
    Group A vs. Group B	1.681	-1.677 to 5.040	No	ns	>0.9999			
    Group A vs. Group C	3.164	-0.9494 to 7.277	No	ns	0.7793			
    Group B vs. Group C	1.482	-2.631 to 5.595	No	ns	>0.9999			
								
  Q0JYF7								
    Group A vs. Group B	0.3726	-2.986 to 3.731	No	ns	>0.9999			
    Group A vs. Group C	4.394	0.2805 to 8.507	Yes	*	0.0162			
    Group B vs. Group C	4.021	-0.09207 to 8.134	No	ns	0.0710			
								
  Q0JYH2								
    Group A vs. Group B	1.612	-1.747 to 4.970	No	ns	>0.9999			
    Group A vs. Group C	0.2871	-3.826 to 4.400	No	ns	>0.9999			
    Group B vs. Group C	-1.324	-5.438 to 2.789	No	ns	>0.9999			
								
  Q0JYK3								
    Group A vs. Group B	1.282	-2.077 to 4.640	No	ns	>0.9999			
    Group A vs. Group C	0.7066	-3.407 to 4.820	No	ns	>0.9999			
    Group B vs. Group C	-0.5751	-4.688 to 3.538	No	ns	>0.9999			
								
  Q0JYV3								
    Group A vs. Group B	0.1780	-3.180 to 3.536	No	ns	>0.9999			
    Group A vs. Group C	0.5240	-3.589 to 4.637	No	ns	>0.9999			
    Group B vs. Group C	0.3460	-3.767 to 4.459	No	ns	>0.9999			
								
  Q0JYY5								
    Group A vs. Group B	1.203	-2.156 to 4.561	No	ns	>0.9999			
    Group A vs. Group C	1.101	-3.012 to 5.214	No	ns	>0.9999			
    Group B vs. Group C	-0.1014	-4.215 to 4.012	No	ns	>0.9999			
								
  Q0JZ07								
    Group A vs. Group B	1.181	-2.178 to 4.539	No	ns	>0.9999			
    Group A vs. Group C	4.042	-0.07157 to 8.155	No	ns	0.0657			
    Group B vs. Group C	2.861	-1.252 to 6.974	No	ns	0.9775			
								
  Q0JZ34								
    Group A vs. Group B	-0.2636	-3.622 to 3.095	No	ns	>0.9999			
    Group A vs. Group C	1.316	-2.797 to 5.429	No	ns	>0.9999			
    Group B vs. Group C	1.579	-2.534 to 5.693	No	ns	>0.9999			
								
  Q0JZ42								
    Group A vs. Group B	-2.386	-5.745 to 0.9722	No	ns	0.9578			
    Group A vs. Group C	-2.339	-6.452 to 1.774	No	ns	>0.9999			
    Group B vs. Group C	0.04687	-4.066 to 4.160	No	ns	>0.9999			
								
  Q0JZB9								
    Group A vs. Group B	0.7758	-2.583 to 4.134	No	ns	>0.9999			
    Group A vs. Group C	-2.145	-6.258 to 1.968	No	ns	>0.9999			
    Group B vs. Group C	-2.921	-7.034 to 1.192	No	ns	0.9584			
								
  Q0JZD6								
    Group A vs. Group B	-1.266	-4.625 to 2.092	No	ns	>0.9999			
    Group A vs. Group C	2.893	-1.220 to 7.006	No	ns	0.9684			
    Group B vs. Group C	4.159	0.04590 to 8.272	Yes	*	0.0418			
								
  Q0JZL8								
    Group A vs. Group B	0.6078	-2.751 to 3.966	No	ns	>0.9999			
    Group A vs. Group C	-1.324	-5.438 to 2.789	No	ns	>0.9999			
    Group B vs. Group C	-1.932	-6.045 to 2.181	No	ns	>0.9999			
								
  Q0JZN7								
    Group A vs. Group B	1.229	-2.129 to 4.588	No	ns	>0.9999			
    Group A vs. Group C	2.408	-1.705 to 6.522	No	ns	>0.9999			
    Group B vs. Group C	1.179	-2.934 to 5.292	No	ns	>0.9999			
								
  Q0JZP7								
    Group A vs. Group B	-0.3228	-3.681 to 3.036	No	ns	>0.9999			
    Group A vs. Group C	2.928	-1.185 to 7.041	No	ns	0.9556			
    Group B vs. Group C	3.251	-0.8625 to 7.364	No	ns	0.6814			
								
  Q0JZR4								
    Group A vs. Group B	1.622	-1.736 to 4.980	No	ns	>0.9999			
    Group A vs. Group C	3.751	-0.3618 to 7.865	No	ns	0.1842			
    Group B vs. Group C	2.129	-1.984 to 6.242	No	ns	>0.9999			
								
  Q0JZZ2								
    Group A vs. Group B	0.7799	-2.579 to 4.138	No	ns	>0.9999			
    Group A vs. Group C	2.424	-1.689 to 6.538	No	ns	>0.9999			
    Group B vs. Group C	1.645	-2.469 to 5.758	No	ns	>0.9999			
								
  Q0JZZ3								
    Group A vs. Group B	1.786	-1.573 to 5.144	No	ns	>0.9999			
    Group A vs. Group C	2.092	-2.021 to 6.205	No	ns	>0.9999			
    Group B vs. Group C	0.3061	-3.807 to 4.419	No	ns	>0.9999			
								
  Q0K086								
    Group A vs. Group B	0.1032	-3.255 to 3.462	No	ns	>0.9999			
    Group A vs. Group C	0.08359	-4.030 to 4.197	No	ns	>0.9999			
    Group B vs. Group C	-0.01960	-4.133 to 4.094	No	ns	>0.9999			
								
  Q0K093								
    Group A vs. Group B	1.514	-1.844 to 4.873	No	ns	>0.9999			
    Group A vs. Group C	3.184	-0.9294 to 7.297	No	ns	0.7578			
    Group B vs. Group C	1.670	-2.444 to 5.783	No	ns	>0.9999			
								
  Q0K0A8;Q0KAU8								
    Group A vs. Group B	1.217	-2.141 to 4.576	No	ns	>0.9999			
    Group A vs. Group C	1.784	-2.329 to 5.897	No	ns	>0.9999			
    Group B vs. Group C	0.5663	-3.547 to 4.680	No	ns	>0.9999			
								
  Q0K0D1								
    Group A vs. Group B	-0.1038	-3.462 to 3.255	No	ns	>0.9999			
    Group A vs. Group C	-0.7823	-4.895 to 3.331	No	ns	>0.9999			
    Group B vs. Group C	-0.6785	-4.792 to 3.435	No	ns	>0.9999			
								
  Q0K0F5								
    Group A vs. Group B	1.922	-1.436 to 5.281	No	ns	>0.9999			
    Group A vs. Group C	3.841	-0.2726 to 7.954	No	ns	0.1362			
    Group B vs. Group C	1.918	-2.195 to 6.031	No	ns	>0.9999			
								
  Q0K0Q7								
    Group A vs. Group B	2.573	-0.7854 to 5.931	No	ns	0.7923			
    Group A vs. Group C	2.870	-1.243 to 6.983	No	ns	0.9751			
    Group B vs. Group C	0.2972	-3.816 to 4.410	No	ns	>0.9999			
								
  Q0K0Q8								
    Group A vs. Group B	2.912	-0.4460 to 6.271	No	ns	0.3257			
    Group A vs. Group C	3.275	-0.8381 to 7.388	No	ns	0.6524			
    Group B vs. Group C	0.3627	-3.750 to 4.476	No	ns	>0.9999			
								
  Q0K0R2								
    Group A vs. Group B	1.465	-1.894 to 4.823	No	ns	>0.9999			
    Group A vs. Group C	1.936	-2.177 to 6.049	No	ns	>0.9999			
    Group B vs. Group C	0.4715	-3.642 to 4.585	No	ns	>0.9999			
								
  Q0K0V0								
    Group A vs. Group B	0.6521	-2.706 to 4.010	No	ns	>0.9999			
    Group A vs. Group C	5.901	1.788 to 10.01	Yes	****	<0.0001			
    Group B vs. Group C	5.249	1.136 to 9.362	Yes	***	0.0003			
								
  Q0K120								
    Group A vs. Group B	-1.290	-4.649 to 2.068	No	ns	>0.9999			
    Group A vs. Group C	1.055	-3.058 to 5.168	No	ns	>0.9999			
    Group B vs. Group C	2.345	-1.768 to 6.458	No	ns	>0.9999			
								
  Q0K178								
    Group A vs. Group B	1.913	-1.445 to 5.272	No	ns	>0.9999			
    Group A vs. Group C	3.409	-0.7039 to 7.522	No	ns	0.4920			
    Group B vs. Group C	1.496	-2.617 to 5.609	No	ns	>0.9999			
								
  Q0K1F8								
    Group A vs. Group B	0.5221	-2.836 to 3.881	No	ns	>0.9999			
    Group A vs. Group C	0.4429	-3.670 to 4.556	No	ns	>0.9999			
    Group B vs. Group C	-0.07925	-4.192 to 4.034	No	ns	>0.9999			
								
  Q0K1I3								
    Group A vs. Group B	0.9395	-2.419 to 4.298	No	ns	>0.9999			
    Group A vs. Group C	-0.5313	-4.644 to 3.582	No	ns	>0.9999			
    Group B vs. Group C	-1.471	-5.584 to 2.642	No	ns	>0.9999			
								
  Q0K1J5								
    Group A vs. Group B	1.732	-1.626 to 5.090	No	ns	>0.9999			
    Group A vs. Group C	2.578	-1.536 to 6.691	No	ns	0.9998			
    Group B vs. Group C	0.8456	-3.268 to 4.959	No	ns	>0.9999			
								
  Q0K1Q3								
    Group A vs. Group B	0.7154	-2.643 to 4.074	No	ns	>0.9999			
    Group A vs. Group C	0.5384	-3.575 to 4.652	No	ns	>0.9999			
    Group B vs. Group C	-0.1769	-4.290 to 3.936	No	ns	>0.9999			
								
  Q0K1Q5								
    Group A vs. Group B	1.969	-1.389 to 5.327	No	ns	>0.9999			
    Group A vs. Group C	3.017	-1.096 to 7.130	No	ns	0.9075			
    Group B vs. Group C	1.048	-3.065 to 5.162	No	ns	>0.9999			
								
  Q0K1V8								
    Group A vs. Group B	-0.3117	-3.670 to 3.047	No	ns	>0.9999			
    Group A vs. Group C	1.975	-2.138 to 6.088	No	ns	>0.9999			
    Group B vs. Group C	2.287	-1.827 to 6.400	No	ns	>0.9999			
								
  Q0K1Y1								
    Group A vs. Group B	-1.317	-4.675 to 2.042	No	ns	>0.9999			
    Group A vs. Group C	1.127	-2.986 to 5.240	No	ns	>0.9999			
    Group B vs. Group C	2.444	-1.670 to 6.557	No	ns	>0.9999			
								
  Q0K1Y6								
    Group A vs. Group B	2.396	-0.9620 to 5.755	No	ns	0.9527			
    Group A vs. Group C	3.479	-0.6346 to 7.592	No	ns	0.4144			
    Group B vs. Group C	1.082	-3.031 to 5.195	No	ns	>0.9999			
								
  Q0K1Z0								
    Group A vs. Group B	2.752	-0.6069 to 6.110	No	ns	0.5383			
    Group A vs. Group C	4.505	0.3918 to 8.618	Yes	*	0.0101			
    Group B vs. Group C	1.753	-2.360 to 5.867	No	ns	>0.9999			
								
  Q0K1Z3								
    Group A vs. Group B	1.584	-1.775 to 4.942	No	ns	>0.9999			
    Group A vs. Group C	2.674	-1.439 to 6.787	No	ns	0.9984			
    Group B vs. Group C	1.090	-3.023 to 5.203	No	ns	>0.9999			
								
  Q0K1Z4								
    Group A vs. Group B	3.875	0.5161 to 7.233	Yes	**	0.0035			
    Group A vs. Group C	2.898	-1.215 to 7.011	No	ns	0.9669			
    Group B vs. Group C	-0.9769	-5.090 to 3.136	No	ns	>0.9999			
								
  Q0K280								
    Group A vs. Group B	0.2087	-3.150 to 3.567	No	ns	>0.9999			
    Group A vs. Group C	2.082	-2.031 to 6.195	No	ns	>0.9999			
    Group B vs. Group C	1.873	-2.240 to 5.986	No	ns	>0.9999			
								
  Q0K281								
    Group A vs. Group B	-0.3448	-3.703 to 3.014	No	ns	>0.9999			
    Group A vs. Group C	1.982	-2.131 to 6.096	No	ns	>0.9999			
    Group B vs. Group C	2.327	-1.786 to 6.440	No	ns	>0.9999			
								
  Q0K2F7								
    Group A vs. Group B	0.1452	-3.213 to 3.504	No	ns	>0.9999			
    Group A vs. Group C	2.241	-1.872 to 6.354	No	ns	>0.9999			
    Group B vs. Group C	2.096	-2.018 to 6.209	No	ns	>0.9999			
								
  Q0K2F8								
    Group A vs. Group B	-0.5535	-3.912 to 2.805	No	ns	>0.9999			
    Group A vs. Group C	1.103	-3.010 to 5.216	No	ns	>0.9999			
    Group B vs. Group C	1.657	-2.456 to 5.770	No	ns	>0.9999			
								
  Q0K2G7								
    Group A vs. Group B	0.6802	-2.678 to 4.039	No	ns	>0.9999			
