								
Within each row, compare columns (simple effects within rows)								
								
Number of families	1							
Number of comparisons per family	579							
Alpha	0.05							
								
Šídák's multiple comparisons test	Mean Diff.	95.00% CI of diff.	Below threshold?	Summary	Adjusted P Value			
								
  O07451								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.230	-3.250 to 5.710	No	ns	>0.9999			
    Group A vs. Group C	1.467	-3.013 to 5.947	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.2374	-4.243 to 4.717	No	ns	>0.9999			
								
  P19924								
    Group A vs. H16 C/N = 50 80 mM formic acid	2.243	-2.237 to 6.722	No	ns	>0.9999			
    Group A vs. Group C	2.590	-1.890 to 7.070	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.3478	-4.132 to 4.828	No	ns	>0.9999			
								
  P21726								
    Group A vs. H16 C/N = 50 80 mM formic acid	2.145	-2.335 to 6.625	No	ns	>0.9999			
    Group A vs. Group C	1.673	-2.807 to 6.153	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.4721	-4.952 to 4.008	No	ns	>0.9999			
								
  P22317								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.327	-3.153 to 5.807	No	ns	>0.9999			
    Group A vs. Group C	1.266	-3.214 to 5.746	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.06089	-4.541 to 4.419	No	ns	>0.9999			
								
  P22318								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.220	-3.260 to 5.700	No	ns	>0.9999			
    Group A vs. Group C	1.480	-3.000 to 5.960	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.2601	-4.220 to 4.740	No	ns	>0.9999			
								
  P22319								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.393	-3.087 to 5.873	No	ns	>0.9999			
    Group A vs. Group C	1.255	-3.225 to 5.735	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.1385	-4.618 to 4.341	No	ns	>0.9999			
								
  P22320								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.9189	-3.561 to 5.399	No	ns	>0.9999			
    Group A vs. Group C	1.484	-2.996 to 5.964	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.5653	-3.915 to 5.045	No	ns	>0.9999			
								
  P29267								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.011	-3.469 to 5.491	No	ns	>0.9999			
    Group A vs. Group C	0.5595	-3.920 to 5.039	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.4511	-4.931 to 4.029	No	ns	>0.9999			
								
  P31891								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.523	-2.957 to 6.003	No	ns	>0.9999			
    Group A vs. Group C	1.382	-3.098 to 5.861	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.1410	-4.621 to 4.339	No	ns	>0.9999			
								
  P31892								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.250	-3.230 to 5.730	No	ns	>0.9999			
    Group A vs. Group C	0.7172	-3.763 to 5.197	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.5324	-5.012 to 3.947	No	ns	>0.9999			
								
  P31898								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.7961	-5.276 to 3.684	No	ns	>0.9999			
    Group A vs. Group C	-0.6586	-5.139 to 3.821	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.1375	-4.342 to 4.617	No	ns	>0.9999			
								
  P31900								
    Group A vs. H16 C/N = 50 80 mM formic acid	2.186	-2.294 to 6.666	No	ns	>0.9999			
    Group A vs. Group C	1.825	-2.655 to 6.305	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.3615	-4.841 to 4.118	No	ns	>0.9999			
								
  P31901								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.8951	-3.585 to 5.375	No	ns	>0.9999			
    Group A vs. Group C	-0.6067	-5.087 to 3.873	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.502	-5.982 to 2.978	No	ns	>0.9999			
								
  P31902								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.9047	-3.575 to 5.385	No	ns	>0.9999			
    Group A vs. Group C	0.4370	-4.043 to 4.917	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.4677	-4.948 to 4.012	No	ns	>0.9999			
								
  P31905								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.226	-3.254 to 5.706	No	ns	>0.9999			
    Group A vs. Group C	0.02514	-4.455 to 4.505	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.201	-5.681 to 3.279	No	ns	>0.9999			
								
  P31909								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.395	-3.085 to 5.875	No	ns	>0.9999			
    Group A vs. Group C	1.126	-3.354 to 5.606	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.2692	-4.749 to 4.211	No	ns	>0.9999			
								
  P31910								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.4803	-4.000 to 4.960	No	ns	>0.9999			
    Group A vs. Group C	0.1773	-4.303 to 4.657	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.3030	-4.783 to 4.177	No	ns	>0.9999			
								
  P31911								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.162	-3.318 to 5.642	No	ns	>0.9999			
    Group A vs. Group C	0.5852	-3.895 to 5.065	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.5767	-5.057 to 3.903	No	ns	>0.9999			
								
  P31914								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.8436	-3.636 to 5.324	No	ns	>0.9999			
    Group A vs. Group C	1.072	-3.408 to 5.552	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.2284	-4.252 to 4.708	No	ns	>0.9999			
								
  P39185								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.473	-3.007 to 5.952	No	ns	>0.9999			
    Group A vs. Group C	1.345	-3.135 to 5.825	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.1278	-4.608 to 4.352	No	ns	>0.9999			
								
  P39662								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.2600	-4.220 to 4.740	No	ns	>0.9999			
    Group A vs. Group C	0.03776	-4.442 to 4.518	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.2222	-4.702 to 4.258	No	ns	>0.9999			
								
  P40853								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.8144	-3.666 to 5.294	No	ns	>0.9999			
    Group A vs. Group C	1.042	-3.438 to 5.522	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.2275	-4.252 to 4.707	No	ns	>0.9999			
								
  P42721								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.7491	-3.731 to 5.229	No	ns	>0.9999			
    Group A vs. Group C	0.4797	-4.000 to 4.960	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.2694	-4.749 to 4.211	No	ns	>0.9999			
								
  P45805								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.9232	-3.557 to 5.403	No	ns	>0.9999			
    Group A vs. Group C	0.7036	-3.776 to 5.183	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.2197	-4.700 to 4.260	No	ns	>0.9999			
								
  P50320								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.511	-2.969 to 5.991	No	ns	>0.9999			
    Group A vs. Group C	0.6975	-3.782 to 5.177	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.8136	-5.294 to 3.666	No	ns	>0.9999			
								
  Q04541								
    Group A vs. H16 C/N = 50 80 mM formic acid	5.502	1.022 to 9.982	Yes	***	0.0009			
    Group A vs. Group C	3.497	-0.9826 to 7.977	No	ns	0.7195			
    H16 C/N = 50 80 mM formic acid vs. Group C	-2.005	-6.485 to 2.475	No	ns	>0.9999			
								
  Q0JY89								
    Group A vs. H16 C/N = 50 80 mM formic acid	2.136	-2.344 to 6.616	No	ns	>0.9999			
    Group A vs. Group C	3.497	-0.9830 to 7.977	No	ns	0.7199			
    H16 C/N = 50 80 mM formic acid vs. Group C	1.361	-3.119 to 5.841	No	ns	>0.9999			
								
  Q0JYB7								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.7459	-3.734 to 5.226	No	ns	>0.9999			
    Group A vs. Group C	3.527	-0.9526 to 8.007	No	ns	0.6878			
    H16 C/N = 50 80 mM formic acid vs. Group C	2.781	-1.698 to 7.261	No	ns	0.9998			
								
  Q0JYJ3								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.670	-2.810 to 6.150	No	ns	>0.9999			
    Group A vs. Group C	-0.07043	-4.550 to 4.409	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.741	-6.221 to 2.739	No	ns	>0.9999			
								
  Q0JYL9								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.5335	-5.013 to 3.946	No	ns	>0.9999			
    Group A vs. Group C	-1.330	-5.810 to 3.149	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.7970	-5.277 to 3.683	No	ns	>0.9999			
								
  Q0JYM3								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.5960	-5.076 to 3.884	No	ns	>0.9999			
    Group A vs. Group C	-1.614	-6.093 to 2.866	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.018	-5.497 to 3.462	No	ns	>0.9999			
								
  Q0JYN0								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.07619	-4.404 to 4.556	No	ns	>0.9999			
    Group A vs. Group C	0.4254	-4.055 to 4.905	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.3492	-4.131 to 4.829	No	ns	>0.9999			
								
  Q0JYP7								
    Group A vs. H16 C/N = 50 80 mM formic acid	2.154	-2.326 to 6.634	No	ns	>0.9999			
    Group A vs. Group C	0.6617	-3.818 to 5.142	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.493	-5.973 to 2.987	No	ns	>0.9999			
								
