log(fold change)	-log(adjusted p)	ProtID
1.2300000000000004	-0.0	O07451
2.25	-0.0	P19924
2.150000000000002	-0.0	P21726
1.3300000000000018	-0.0	P22317
1.2199999999999989	-0.0	P22318
1.3900000000000006	-0.0	P22319
0.9100000000000001	-0.0	P22320
1.009999999999998	-0.0	P29267
1.5300000000000011	-0.0	P31891
1.25	-0.0	P31892
-0.8000000000000007	-0.0	P31898
2.1799999999999997	-0.0	P31900
0.889999999999997	-0.0	P31901
0.8999999999999986	-0.0	P31902
1.2199999999999989	-0.0	P31905
1.3999999999999986	-0.0	P31909
0.4800000000000004	-0.0	P31910
1.1600000000000001	-0.0	P31911
0.8500000000000014	-0.0	P31914
1.4699999999999989	-0.0	P39185
0.259999999999998	-0.0	P39662
0.8100000000000023	-0.0	P40853
0.75	-0.0	P42721
0.9299999999999997	-0.0	P45805
1.5100000000000016	-0.0	P50320
5.500000000000002	7.013115794639964	Q04541
2.129999999999999	-0.0	Q0JY89
0.7400000000000002	-0.0	Q0JYB7
1.67	-0.0	Q0JYJ3
-0.5299999999999994	-0.0	Q0JYL9
-0.5899999999999999	-0.0	Q0JYM3
0.07000000000000028	-0.0	Q0JYN0
2.1500000000000004	-0.0	Q0JYP7
-2.3000000000000007	-0.0	Q0JZ02
2.780000000000001	0.0002000200026670447	Q0JZ55
-2.01	-0.0	Q0JZ60
-0.9000000000000004	-0.0	Q0JZB2
-3.1499999999999986	0.03334997968155419	Q0JZF7
1.8000000000000007	-0.0	Q0JZH2
2.41	-0.0	Q0JZL1
4.9	4.537511537514277	Q0JZR8
-0.5499999999999989	-0.0	Q0JZV9
-2.0700000000000003	-0.0	Q0K059
-2.290000000000001	-0.0	Q0K0G5
2.7799999999999994	0.0002000200026670447	Q0K0M2
2.049999999999999	-0.0	Q0K0U5
-0.05000000000000071	-0.0	Q0K0Y5
4.610000000000001	3.451438598098902	Q0K0Z5
2.6099999999999994	-0.0	Q0K103
1.9699999999999989	-0.0	Q0K106
4.3100000000000005	2.4013010659332035	Q0K108
3.16	0.04103034955799192	Q0K110
1.370000000000001	-0.0	Q0K113
0.9600000000000009	-0.0	Q0K114
0.28000000000000114	-0.0	Q0K115
3.16	0.03718279112771595	Q0K124
1.33	-0.0	Q0K125
4.850000000000001	4.3351430487750315	Q0K127
1.6799999999999997	-0.0	Q0K129
1.700000000000001	-0.0	Q0K130
2.210000000000001	-0.0	Q0K132
-0.3500000000000014	-0.0	Q0K135
2.0700000000000003	-0.0	Q0K150
0.5199999999999996	-0.0	Q0K154
1.4699999999999989	-0.0	Q0K157
3.7500000000000018	0.8099057411701409	Q0K163
2.91	0.0019018072895963312	Q0K164
1.879999999999999	-0.0	Q0K166
2.3200000000000003	-0.0	Q0K169
1.7100000000000009	-0.0	Q0K170
4.85	4.3661532855175915	Q0K191
0.25	-0.0	Q0K192
3.76	0.8333292111598078	Q0K194
2.0299999999999994	-0.0	Q0K195
1.0899999999999999	-0.0	Q0K198
0.8900000000000006	-0.0	Q0K1A0
3.25	0.0779615414697118	Q0K1A5
1.9600000000000009	-0.0	Q0K1A9
-0.7799999999999994	-0.0	Q0K1H1
-0.3200000000000003	-0.0	Q0K1V0
3.4700000000000006	0.2822302937735357	Q0K1V6
-1.6199999999999992	-0.0	Q0K1W3
-0.620000000000001	-0.0	Q0K274
1.209999999999999	-0.0	Q0K275
-2.960000000000001	0.003606495594111744	Q0K2D2
0.23000000000000043	-0.0	Q0K2E5
-1.6899999999999995	-0.0	Q0K2J3
2.3099999999999987	-0.0	Q0K2J8
-2.549999999999999	-0.0	Q0K2M8
0.5099999999999998	-0.0	Q0K2N5
-1.1099999999999994	-0.0	Q0K2V0
-2.4499999999999993	-0.0	Q0K2V4
1.1100000000000012	-0.0	Q0K393
5.08	5.2785147392518565	Q0K3B6
1.5299999999999994	-0.0	Q0K3E1
4.209999999999999	2.077842820316139	Q0K3E7
-1.1300000000000008	-0.0	Q0K3T1
0.5899999999999999	-0.0	Q0K3W2
1.9800000000000004	-0.0	Q0K3Y4
-2.379999999999999	-0.0	Q0K4E6
-1.9900000000000002	-0.0	Q0K4G1
-2.379999999999999	-0.0	Q0K4K3
1.3000000000000007	-0.0	Q0K4K6
-2.49	-0.0	Q0K4N0
0.35999999999999943	-0.0	Q0K4P2
-0.07000000000000028	-0.0	Q0K5F5
2.8900000000000006	0.0013008457330480696	Q0K666
2.4099999999999984	-0.0	Q0K698
1.2800000000000011	-0.0	Q0K6H7
-2.42	-0.0	Q0K6H8
-1.5	-0.0	Q0K759
1.8499999999999996	-0.0	Q0K7F7
0.47999999999999865	-0.0	Q0K7G3
2.120000000000001	-0.0	Q0K7J6
2.8299999999999983	0.0005001250416822429	Q0K7J8
0.870000000000001	-0.0	Q0K7J9
-0.5300000000000011	-0.0	Q0K7W1
-2.17	-0.0	Q0K8E6
4.649999999999999	3.619353391465326	Q0K8P7
-3.0100000000000016	0.007125324942588627	Q0K924
0.5	-0.0	Q0K925
-2.09	-0.0	Q0K9N8
-0.9299999999999997	-0.0	Q0KA08
-0.46000000000000085	-0.0	Q0KAD2
-1.209999999999999	-0.0	Q0KAH7
1.1999999999999993	-0.0	Q0KAZ6
-3.01	0.007427515828796584	Q0KBL4
-4.49	3.0512449834842497	Q0KBL5
-4.140000000000002	1.8496004689179049	Q0KBL6
-0.47000000000000064	-0.0	Q0KBN0
1.6799999999999997	-0.0	Q0KCD2
-0.08999999999999986	-0.0	Q0KCQ8
-0.5500000000000007	-0.0	Q0KCR4
-2.9499999999999993	0.0031048149534787565	Q0KD39
-0.2400000000000002	-0.0	Q0KDK3
0.5600000000000005	-0.0	Q0KE24
-0.5700000000000003	-0.0	Q0KE90
-0.5900000000000016	-0.0	Q0KEJ8
2.34	-0.0	Q0KET0
0.2400000000000002	-0.0	Q0KEV1;Q0K2T9
-0.870000000000001	-0.0	Q0KEW2
2.1400000000000006	-0.0	Q0KF81
-0.8900000000000006	-0.0	Q0KFD7
1.2199999999999989	-0.0	Q0KFI6
0.6499999999999986	-0.0	Q0KFJ8
1.3500000000000014	-0.0	Q59101
-1.120000000000001	-0.0	Q59105
0.8499999999999979	-0.0	Q79IN9
1.2399999999999984	-0.0	Q79IP0
0.7699999999999996	-0.0	Q79IP6
0.9499999999999993	-0.0	Q79IP7
1.8899999999999988	-0.0	Q79IP8
3.4700000000000006	0.2874154413343501	Q7WSB2
0.6099999999999994	-0.0	Q7WWT7;Q0KAA4;Q7WWU8
1.089999999999998	-0.0	Q7WWT9
3.8200000000000003	0.9845695726274495	Q7WWU0
1.75	-0.0	Q7WWU7
2.09	-0.0	Q7WWV0
3.4400000000000013	0.24245379984870957	Q7WWW3
0.120000000000001	-0.0	Q7WWW7
1.4600000000000009	-0.0	Q7WWW8
-3.860000000000001	1.0538301458962165	Q7WWX2
-1.7699999999999996	-0.0	Q7WWX9
-2.369999999999999	-0.0	Q7WWY4
-3.719999999999999	0.7168253079145225	Q7WWZ6
-1.3900000000000006	-0.0	Q7WWZ7
-0.22000000000000242	-0.0	Q7WX00
-1.990000000000002	-0.0	Q7WX12
-1.1999999999999993	-0.0	Q7WX14
-2.619999999999999	-0.0	Q7WX43
-3.9000000000000004	1.1766819440900322	Q7WX46
0.6600000000000001	-0.0	Q7WX55
-0.4299999999999997	-0.0	Q7WXA8;Q0K1A4
1.3499999999999996	-0.0	Q7WXD2
0.8199999999999985	-0.0	Q7WXE2
-0.120000000000001	-0.0	Q7WXE7
1.1099999999999994	-0.0	Q7WXF0
0.3999999999999986	-0.0	Q7WXF4
2.7600000000000016	0.00010000500033334732	Q7WXF5
-1.9399999999999977	-0.0	Q7WXF9
0.3699999999999992	-0.0	Q7WXG2
-0.9700000000000006	-0.0	Q7WXG6
-0.5700000000000003	-0.0	Q7WXG8
1.379999999999999	-0.0	Q7WXH0
1.4899999999999984	-0.0	Q7WXI6
2.6799999999999997	-0.0	Q7WXI7
0.9599999999999973	-0.0	Q7WXL4
-0.4900000000000002	-0.0	Q7WXL9
0.8599999999999994	-0.0	Q7WXM8;Q7WXP0
-0.9299999999999997	-0.0	Q7WXM9
-0.7700000000000031	-0.0	Q7WXT8
0.7099999999999973	-0.0	Q7WXT9
1.129999999999999	-0.0	Q7WXU0
