log(fold change)	-log(adjusted p)	ProtID
0.23999999999999844	-0.0	O07451
0.33999999999999986	-0.0	P19924
-0.4800000000000004	-0.0	P21726
-0.060000000000002274	-0.0	P22317
0.26000000000000156	-0.0	P22318
-0.14000000000000057	-0.0	P22319
0.5700000000000003	-0.0	P22320
-0.4499999999999993	-0.0	P29267
-0.14000000000000057	-0.0	P31891
-0.5300000000000011	-0.0	P31892
0.14000000000000057	-0.0	P31898
-0.360000000000003	-0.0	P31900
-1.5	-0.0	P31901
-0.46000000000000085	-0.0	P31902
-1.1999999999999993	-0.0	P31905
-0.2699999999999996	-0.0	P31909
-0.3000000000000007	-0.0	P31910
-0.5700000000000003	-0.0	P31911
0.21999999999999886	-0.0	P31914
-0.129999999999999	-0.0	P39185
-0.21999999999999886	-0.0	P39662
0.23000000000000043	-0.0	P40853
-0.2699999999999996	-0.0	P42721
-0.21999999999999886	-0.0	P45805
-0.8100000000000023	-0.0	P50320
-2.0000000000000018	-0.0	Q04541
1.3600000000000012	-0.0	Q0JY89
2.7799999999999994	0.0002000200026670447	Q0JYB7
-1.7400000000000002	-0.0	Q0JYJ3
-0.7999999999999989	-0.0	Q0JYL9
-1.0199999999999996	-0.0	Q0JYM3
0.34999999999999964	-0.0	Q0JYN0
-1.4900000000000002	-0.0	Q0JYP7
3.6999999999999993	0.7117185661453806	Q0JZ02
-0.2900000000000009	-0.0	Q0JZ55
2.0500000000000007	-0.0	Q0JZ60
0.02999999999999936	-0.0	Q0JZB2
1.379999999999999	-0.0	Q0JZF7
2.299999999999999	-0.0	Q0JZH2
0.3000000000000007	-0.0	Q0JZL1
0.7599999999999998	-0.0	Q0JZR8
-1.9000000000000004	-0.0	Q0JZV9
-0.4399999999999995	-0.0	Q0K059
2.26	-0.0	Q0K0G5
1.0199999999999996	-0.0	Q0K0M2
-2.8199999999999985	0.00040008002133969133	Q0K0U5
-0.5	-0.0	Q0K0Y5
0.07000000000000028	-0.0	Q0K0Z5
-1.6899999999999995	-0.0	Q0K103
-0.5899999999999999	-0.0	Q0K106
-2.0999999999999996	-0.0	Q0K108
-1.6499999999999986	-0.0	Q0K110
-1.1600000000000001	-0.0	Q0K113
-0.6400000000000006	-0.0	Q0K114
0.389999999999997	-0.0	Q0K115
-2.4000000000000004	-0.0	Q0K124
-1.549999999999999	-0.0	Q0K125
-2.2200000000000006	-0.0	Q0K127
-0.7300000000000004	-0.0	Q0K129
0.8399999999999999	-0.0	Q0K130
-2.210000000000001	-0.0	Q0K132
-1.0599999999999987	-0.0	Q0K135
0.03999999999999915	-0.0	Q0K150
0.4399999999999995	-0.0	Q0K154
-1.1799999999999997	-0.0	Q0K157
-1.4700000000000006	-0.0	Q0K163
-1.6999999999999993	-0.0	Q0K164
-0.7699999999999996	-0.0	Q0K166
-1.2300000000000004	-0.0	Q0K169
-0.28999999999999915	-0.0	Q0K170
-0.5499999999999989	-0.0	Q0K191
0.8200000000000003	-0.0	Q0K192
-1.9399999999999995	-0.0	Q0K194
2.6500000000000004	-0.0	Q0K195
0.8599999999999994	-0.0	Q0K198
1.75	-0.0	Q0K1A0
-1.67	-0.0	Q0K1A5
1.1799999999999997	-0.0	Q0K1A9
0.129999999999999	-0.0	Q0K1H1
-0.35999999999999943	-0.0	Q0K1V0
-0.2900000000000009	-0.0	Q0K1V6
-1.4900000000000002	-0.0	Q0K1W3
0.03999999999999915	-0.0	Q0K274
-1.589999999999998	-0.0	Q0K275
-0.5999999999999996	-0.0	Q0K2D2
-0.8499999999999996	-0.0	Q0K2E5
0.5199999999999996	-0.0	Q0K2J3
-2.1599999999999984	-0.0	Q0K2J8
1.1499999999999986	-0.0	Q0K2M8
-0.8300000000000001	-0.0	Q0K2N5
-1.5600000000000023	-0.0	Q0K2V0
3.289999999999999	0.10524941071909748	Q0K2V4
2.1799999999999997	-0.0	Q0K393
-0.2400000000000002	-0.0	Q0K3B6
-1.3200000000000003	-0.0	Q0K3E1
-0.049999999999998934	-0.0	Q0K3E7
-0.16999999999999993	-0.0	Q0K3T1
-0.509999999999998	-0.0	Q0K3W2
-2.200000000000001	-0.0	Q0K3Y4
0.0	-0.0	Q0K4E6
