log(fold change)	-log(adjusted p)	ProtID
-1.620000000000001	-0.0	O30332
-4.9	9.210340371976182	O30334
-3.780000000000001	9.210340371976182	O30338
0.9100000000000001	-0.0	O87816
0.5300000000000011	-0.0	P14611
-0.0400000000000027	-0.0	P14697
2.120000000000001	-0.0	P19911
1.8300000000000018	-0.0	P19912
1.3099999999999987	-0.0	P19923
1.6499999999999986	-0.0	P21725
0.0799999999999983	-0.0	P23536
-0.629999999999999	-0.0	P23537
1.5700000000000003	-0.0	P23608
-2.290000000000001	0.029531802606037858	P27745
-2.5700000000000003	1.0650808054593173	P27746
-2.400000000000002	0.21121498044893597	P27749
0.17999999999999972	-0.0	P28613
-0.3000000000000007	-0.0	P28615
0.4299999999999997	-0.0	P31638;Q0K2Z8
2.0400000000000027	-0.0	P31903
1.1600000000000001	-0.0	P40117
1.370000000000001	-0.0	P40118
1.1800000000000033	-0.0	P40119
0.6400000000000006	-0.0	P40289
0.6900000000000013	-0.0	P40852
0.7300000000000004	-0.0	P42722
-4.370000000000001	9.210340371976182	P46368
1.5500000000000007	-0.0	P50319
3.3100000000000023	7.418580902748128	P50321
1.9700000000000024	-0.0	P50322
0.08999999999999986	-0.0	P52992
1.1600000000000001	-0.0	P52993
1.370000000000001	-0.0	Q04539
0.6099999999999994	-0.0	Q04540
1.1099999999999994	-0.0	Q0JY13
0.28999999999999915	-0.0	Q0JY21
-0.019999999999999574	-0.0	Q0JY25
0.21000000000000085	-0.0	Q0JY26;Q0K136
-0.129999999999999	-0.0	Q0JY27
0.3200000000000003	-0.0	Q0JY28
0.129999999999999	-0.0	Q0JY29
-1.0700000000000003	-0.0	Q0JY30
-0.6099999999999994	-0.0	Q0JY31
1.1999999999999993	-0.0	Q0JY33
1.2100000000000009	-0.0	Q0JY37
-0.25	-0.0	Q0JY39
0.41999999999999815	-0.0	Q0JY40
1.1800000000000033	-0.0	Q0JY46
-0.07000000000000028	-0.0	Q0JY47
0.16000000000000014	-0.0	Q0JY54
0.6799999999999997	-0.0	Q0JY55
0.08999999999999986	-0.0	Q0JY57
0.21000000000000085	-0.0	Q0JY58
0.18999999999999773	-0.0	Q0JY61
0.5700000000000003	-0.0	Q0JY77
1.620000000000001	-0.0	Q0JY78
0.9700000000000006	-0.0	Q0JY82
1.209999999999999	-0.0	Q0JY83
0.5	-0.0	Q0JY84
-1.3000000000000007	-0.0	Q0JY90
0.8300000000000018	-0.0	Q0JY93
1.120000000000001	-0.0	Q0JY94
0.39000000000000057	-0.0	Q0JY96
1.4900000000000002	-0.0	Q0JYA1
-0.28999999999999915	-0.0	Q0JYB3
2.5600000000000005	1.0013041062011117	Q0JYB5
2.150000000000002	0.0002000200026670447	Q0JYB9
1.8599999999999994	-0.0	Q0JYC2
1.0	-0.0	Q0JYC4
-0.3500000000000014	-0.0	Q0JYD5
0.18999999999999773	-0.0	Q0JYD6
1.42	-0.0	Q0JYF1
0.9500000000000028	-0.0	Q0JYF3
0.6799999999999997	-0.0	Q0JYF5
3.650000000000002	9.210340371976182	Q0JYF8
4.34	9.210340371976182	Q0JYF9
3.5299999999999976	9.210340371976182	Q0JYG0
2.700000000000001	2.0069348508930878	Q0JYG1
2.8100000000000005	2.8524981054680834	Q0JYG2
3.8099999999999987	9.210340371976182	Q0JYG3
9.298	9.210340371976182	Q0JYG4
4.670000000000002	9.210340371976182	Q0JYG5
2.130000000000001	-0.0	Q0JYG6
5.18	9.210340371976182	Q0JYG9
1.4299999999999997	-0.0	Q0JYH0
5.859999999999999	9.210340371976182	Q0JYH1
1.67	-0.0	Q0JYH3
7.27	9.210340371976182	Q0JYH4
2.0600000000000005	-0.0	Q0JYH5
3.1400000000000023	5.809142990314028	Q0JYH6
4.140000000000002	9.210340371976182	Q0JYH7
3.6300000000000026	9.210340371976182	Q0JYH8
-1.4800000000000004	-0.0	Q0JYI3
-2.91	3.661264287080963	Q0JYI4
-3.5400000000000027	9.210340371976182	Q0JYI5
-0.08000000000000007	-0.0	Q0JYI6
1.4299999999999997	-0.0	Q0JYI9
1.1999999999999993	-0.0	Q0JYJ0
0.7299999999999986	-0.0	Q0JYJ5
0.8299999999999983	-0.0	Q0JYJ6
0.33999999999999986	-0.0	Q0JYJ7
0.7700000000000031	-0.0	Q0JYJ8
-0.4200000000000017	-0.0	Q0JYK1
0.1999999999999993	-0.0	Q0JYK2
0.9100000000000019	-0.0	Q0JYK7
0.9199999999999982	-0.0	Q0JYK8
-0.379999999999999	-0.0	Q0JYL4
-4.289999999999999	9.210340371976182	Q0JYL5
-3.3200000000000003	7.600902459542082	Q0JYN2
-0.8900000000000006	-0.0	Q0JYN9
-2.4000000000000004	0.22451949749414074	Q0JYR6
0.9600000000000009	-0.0	Q0JYS0
3.700000000000001	9.210340371976182	Q0JYS3
0.17999999999999972	-0.0	Q0JYS5
1.83	-0.0	Q0JYS8
-0.16999999999999993	-0.0	Q0JYT4
0.6799999999999997	-0.0	Q0JYT8
0.28999999999999915	-0.0	Q0JYV4
1.5199999999999996	-0.0	Q0JYW5
1.4000000000000004	-0.0	Q0JYW8
-1.9299999999999997	-0.0	Q0JYX6;Q7WX71
0.8000000000000007	-0.0	Q0JYY6
0.47000000000000064	-0.0	Q0JYY7
0.379999999999999	-0.0	Q0JYZ2
-0.26000000000000156	-0.0	Q0JZ03
-0.08999999999999986	-0.0	Q0JZ04
1.7400000000000002	-0.0	Q0JZ06
-0.8900000000000006	-0.0	Q0JZ10
0.860000000000003	-0.0	Q0JZ13
0.4299999999999997	-0.0	Q0JZ26
-1.5	-0.0	Q0JZ29
0.27000000000000135	-0.0	Q0JZ36
0.8399999999999999	-0.0	Q0JZ37
-0.3099999999999987	-0.0	Q0JZ38
-0.25	-0.0	Q0JZ39
-1.0700000000000003	-0.0	Q0JZ40
-0.21999999999999886	-0.0	Q0JZ41
-0.5399999999999991	-0.0	Q0JZ43
0.5	-0.0	Q0JZ45
0.6499999999999986	-0.0	Q0JZ46
-0.7400000000000002	-0.0	Q0JZ47
-1.25	-0.0	Q0JZ52
-1.0600000000000023	-0.0	Q0JZ56
-0.40000000000000213	-0.0	Q0JZ57
-1.2600000000000016	-0.0	Q0JZ58
-0.17999999999999972	-0.0	Q0JZ59
1.370000000000001	-0.0	Q0JZ62
-2.030000000000001	-0.0	Q0JZ63
0.19000000000000128	-0.0	Q0JZ64
1.009999999999998	-0.0	Q0JZ67
0.6499999999999986	-0.0	Q0JZ70
2.120000000000001	-0.0	Q0JZ72
0.22000000000000242	-0.0	Q0JZ73
0.6899999999999977	-0.0	Q0JZ74
1.3499999999999996	-0.0	Q0JZ76
0.35999999999999943	-0.0	Q0JZ79
0.6900000000000013	-0.0	Q0JZ80
1.6400000000000006	-0.0	Q0JZ93
0.9700000000000006	-0.0	Q0JZ94
0.2900000000000009	-0.0	Q0JZ99
0.8400000000000016	-0.0	Q0JZA3
0.8200000000000003	-0.0	Q0JZA4
-0.23999999999999844	-0.0	Q0JZA6
0.22999999999999687	-0.0	Q0JZB4
-0.9300000000000033	-0.0	Q0JZC6
-1.3600000000000012	-0.0	Q0JZC8
0.33000000000000007	-0.0	Q0JZF5
4.0600000000000005	9.210340371976182	Q0JZF8
-0.16999999999999993	-0.0	Q0JZG0
0.9799999999999986	-0.0	Q0JZG5
1.0700000000000003	-0.0	Q0JZG6
0.759999999999998	-0.0	Q0JZG7
1.1900000000000013	-0.0	Q0JZH1
1.0100000000000016	-0.0	Q0JZI5
0.2400000000000002	-0.0	Q0JZJ2
1.33	-0.0	Q0JZJ3
1.6700000000000017	-0.0	Q0JZJ4
1.290000000000001	-0.0	Q0JZJ5
2.2799999999999994	0.02204113087688028	Q0JZJ8
2.75	2.3413259213104762	Q0JZJ9
-0.23000000000000043	-0.0	Q0JZK0
1.120000000000001	-0.0	Q0JZK1
1.0999999999999979	-0.0	Q0JZK7
2.0699999999999985	-0.0	Q0JZK8
1.7800000000000011	-0.0	Q0JZL0
2.6400000000000006	1.567816237743281	Q0JZL6
0.5199999999999996	-0.0	Q0JZL7
2.6899999999999977	1.8891518152367044	Q0JZM1
-1.6500000000000004	-0.0	Q0JZM2
1.1999999999999993	-0.0	Q0JZM3
1.209999999999999	-0.0	Q0JZM4
-0.5099999999999998	-0.0	Q0JZM8
-3.1799999999999997	6.16581793425276	Q0JZN4
-0.1999999999999993	-0.0	Q0JZP1
-0.7300000000000004	-0.0	Q0JZP2
0.6600000000000001	-0.0	Q0JZP3
-0.5600000000000005	-0.0	Q0JZP4
2.629999999999999	1.4279500363887232	Q0JZQ5
0.6700000000000017	-0.0	Q0JZQ8
0.9199999999999982	-0.0	Q0JZR2
1.4899999999999984	-0.0	Q0JZR9
-1.0699999999999985	-0.0	Q0JZS1
-0.8300000000000001	-0.0	Q0JZS3
-0.22000000000000242	-0.0	Q0JZS4
-0.05999999999999872	-0.0	Q0JZS5
0.05000000000000071	-0.0	Q0JZS9
-1.9799999999999986	-0.0	Q0JZT9
-1.790000000000001	-0.0	Q0JZU1
-2.41	0.2646167995207849	Q0JZU2
-0.33000000000000185	-0.0	Q0JZU4;Q0K2Z6
-0.2400000000000002	-0.0	Q0JZU5;Q0K2Z9
0.21999999999999886	-0.0	Q0JZU6
5.08	9.210340371976182	Q0JZU7
-0.16999999999999815	-0.0	Q0JZU8
-0.03999999999999915	-0.0	Q0JZU9
1.0	-0.0	Q0JZV0
4.720000000000001	9.210340371976182	Q0JZV8
0.6900000000000013	-0.0	Q0JZW1
1.5599999999999987	-0.0	Q0JZW3
1.299999999999999	-0.0	Q0JZX0
