log(fold change)	-log(adjusted p)	ProtID
3.0599999999999987	5.035953102080546	O30332
2.5600000000000023	0.977634362115207	O30334
1.6799999999999997	-0.0	O30338
-0.019999999999999574	-0.0	O87816
-0.629999999999999	-0.0	P14611
-0.8599999999999994	-0.0	P14697
-1.7200000000000024	-0.0	P19911
-1.0700000000000003	-0.0	P19912
-0.620000000000001	-0.0	P19923
-0.9499999999999993	-0.0	P21725
-0.5399999999999991	-0.0	P23536
1.0399999999999991	-0.0	P23537
0.1700000000000017	-0.0	P23608
0.7799999999999994	-0.0	P27745
-0.3099999999999987	-0.0	P27746
1.0300000000000011	-0.0	P27749
-0.7899999999999991	-0.0	P28613
-0.389999999999997	-0.0	P28615
0.41999999999999815	-0.0	P31638;Q0K2Z8
2.379999999999999	0.17769228841029233	P31903
-1.6400000000000006	-0.0	P40117
-1.9299999999999997	-0.0	P40118
-0.6900000000000013	-0.0	P40119
-1.0500000000000007	-0.0	P40289
-1.4499999999999993	-0.0	P40852
-1.2199999999999989	-0.0	P42722
0.41000000000000014	-0.0	P46368
-1.1600000000000001	-0.0	P50319
-2.400000000000002	0.21964966205995404	P50321
-1.2900000000000027	-0.0	P50322
-0.5799999999999983	-0.0	P52992
-0.879999999999999	-0.0	P52993
-0.39000000000000057	-0.0	Q04539
-1.0899999999999999	-0.0	Q04540
0.05999999999999872	-0.0	Q0JY13
0.030000000000001137	-0.0	Q0JY21
-1.2100000000000009	-0.0	Q0JY25
-0.7100000000000009	-0.0	Q0JY26;Q0K136
-0.7399999999999984	-0.0	Q0JY27
-0.8000000000000007	-0.0	Q0JY28
-0.5300000000000011	-0.0	Q0JY29
-1.629999999999999	-0.0	Q0JY30
0.7600000000000016	-0.0	Q0JY31
-0.8300000000000018	-0.0	Q0JY33
-1.0199999999999996	-0.0	Q0JY37
0.16000000000000014	-0.0	Q0JY39
-0.620000000000001	-0.0	Q0JY40
0.7199999999999989	-0.0	Q0JY46
-0.5600000000000023	-0.0	Q0JY47
2.8499999999999996	3.1100214199561185	Q0JY54
0.1399999999999988	-0.0	Q0JY55
-0.9800000000000004	-0.0	Q0JY57
-0.4200000000000017	-0.0	Q0JY58
-0.3999999999999986	-0.0	Q0JY61
-0.7000000000000028	-0.0	Q0JY77
-0.5199999999999996	-0.0	Q0JY78
-2.360000000000001	0.12976705805906538	Q0JY82
-1.2300000000000022	-0.0	Q0JY83
-0.9600000000000009	-0.0	Q0JY84
4.34	9.210340371976182	Q0JY90
-1.0100000000000016	-0.0	Q0JY93
-0.6700000000000017	-0.0	Q0JY94
-0.7800000000000011	-0.0	Q0JY96
-0.6199999999999992	-0.0	Q0JYA1
0.04999999999999716	-0.0	Q0JYB3
-0.9900000000000002	-0.0	Q0JYB5
-1.9800000000000004	-0.0	Q0JYB9
0.07000000000000028	-0.0	Q0JYC2
-0.9800000000000004	-0.0	Q0JYC4
0.7300000000000004	-0.0	Q0JYD5
-0.4800000000000004	-0.0	Q0JYD6
-1.4299999999999997	-0.0	Q0JYF1
-1.620000000000001	-0.0	Q0JYF3
-3.5500000000000007	9.210340371976182	Q0JYF5
-4.880000000000003	9.210340371976182	Q0JYF8
-5.98	9.210340371976182	Q0JYF9
-5.669999999999998	9.210340371976182	Q0JYG0
-3.5299999999999994	9.210340371976182	Q0JYG1
-3.9399999999999995	9.210340371976182	Q0JYG2
-4.07	9.210340371976182	Q0JYG3
-10.988000000000001	9.210340371976182	Q0JYG4
-8.379999999999999	9.210340371976182	Q0JYG5
-4.090000000000002	9.210340371976182	Q0JYG6
-6.690000000000001	9.210340371976182	Q0JYG9
-2.7300000000000004	2.1619539632543003	Q0JYH0
-6.800000000000001	9.210340371976182	Q0JYH1
-2.8000000000000007	2.7379940774752822	Q0JYH3
-8.64	9.210340371976182	Q0JYH4
-5.019999999999998	9.210340371976182	Q0JYH5
-5.700000000000001	9.210340371976182	Q0JYH6
-6.980000000000002	9.210340371976182	Q0JYH7
-6.75	9.210340371976182	Q0JYH8
3.1400000000000006	5.744604469176456	Q0JYI3
2.09	-0.0	Q0JYI4
3.5500000000000007	9.210340371976182	Q0JYI5
-0.33999999999999986	-0.0	Q0JYI6
-1.629999999999999	-0.0	Q0JYI9
-2.0	-0.0	Q0JYJ0
-2.1799999999999997	0.0007002451143934259	Q0JYJ5
-0.7199999999999989	-0.0	Q0JYJ6
-0.3000000000000007	-0.0	Q0JYJ7
-1.5800000000000018	-0.0	Q0JYJ8
0.120000000000001	-0.0	Q0JYK1
-0.09999999999999787	-0.0	Q0JYK2
-2.17	0.00040008002133969133	Q0JYK7
0.03999999999999915	-0.0	Q0JYK8
1.2799999999999994	-0.0	Q0JYL4
1.0199999999999996	-0.0	Q0JYL5
1.75	-0.0	Q0JYN2
2.0	-0.0	Q0JYN9
-1.7400000000000002	-0.0	Q0JYR6
-0.5100000000000016	-0.0	Q0JYS0
-2.929999999999998	3.803168600516064	Q0JYS3
0.4299999999999997	-0.0	Q0JYS5
-1.9300000000000015	-0.0	Q0JYS8
0.2699999999999996	-0.0	Q0JYT4
-1.9699999999999989	-0.0	Q0JYT8
0.28000000000000114	-0.0	Q0JYV4
-0.28999999999999915	-0.0	Q0JYW5
-0.9300000000000015	-0.0	Q0JYW8
-0.39000000000000057	-0.0	Q0JYX6;Q7WX71
-1.6700000000000017	-0.0	Q0JYY6
-0.7800000000000011	-0.0	Q0JYY7
-1.2899999999999991	-0.0	Q0JYZ2
-1.3599999999999994	-0.0	Q0JZ03
-0.990000000000002	-0.0	Q0JZ04
0.1899999999999995	-0.0	Q0JZ06
0.9899999999999984	-0.0	Q0JZ10
-0.5600000000000023	-0.0	Q0JZ13
-0.2599999999999998	-0.0	Q0JZ26
1.129999999999999	-0.0	Q0JZ29
-2.8400000000000016	3.094448246493149	Q0JZ36
0.379999999999999	-0.0	Q0JZ37
-0.35999999999999943	-0.0	Q0JZ38
-0.75	-0.0	Q0JZ39
-0.28000000000000114	-0.0	Q0JZ40
-0.5700000000000003	-0.0	Q0JZ41
0.8399999999999999	-0.0	Q0JZ43
-0.1700000000000017	-0.0	Q0JZ45
-0.23000000000000043	-0.0	Q0JZ46
0.8499999999999996	-0.0	Q0JZ47
-0.02999999999999936	-0.0	Q0JZ52
1.620000000000001	-0.0	Q0JZ56
1.4400000000000013	-0.0	Q0JZ57
1.4200000000000017	-0.0	Q0JZ58
1.4599999999999973	-0.0	Q0JZ59
0.26000000000000156	-0.0	Q0JZ62
1.2900000000000027	-0.0	Q0JZ63
0.13999999999999702	-0.0	Q0JZ64
-0.08999999999999986	-0.0	Q0JZ67
-0.18999999999999773	-0.0	Q0JZ70
-1.0800000000000018	-0.0	Q0JZ72
-1.0900000000000034	-0.0	Q0JZ73
-1.25	-0.0	Q0JZ74
-0.6400000000000006	-0.0	Q0JZ76
-2.26	0.013389237119016052	Q0JZ79
-0.4300000000000015	-0.0	Q0JZ80
-2.24	0.005314094823768765	Q0JZ93
-0.46000000000000085	-0.0	Q0JZ94
-1.4499999999999993	-0.0	Q0JZ99
-1.2299999999999986	-0.0	Q0JZA3
0.3999999999999986	-0.0	Q0JZA4
0.7699999999999996	-0.0	Q0JZA6
0.8600000000000012	-0.0	Q0JZB4
0.3500000000000014	-0.0	Q0JZC6
-1.4999999999999982	-0.0	Q0JZC8
-1.3800000000000008	-0.0	Q0JZF5
-7.019999999999998	9.210340371976182	Q0JZF8
-1.1700000000000017	-0.0	Q0JZG0
-1.17	-0.0	Q0JZG5
-0.9600000000000009	-0.0	Q0JZG6
-0.20999999999999908	-0.0	Q0JZG7
-1.5600000000000023	-0.0	Q0JZH1
-1.0100000000000016	-0.0	Q0JZI5
1.7400000000000002	-0.0	Q0JZJ2
-1.1500000000000004	-0.0	Q0JZJ3
-1.6799999999999997	-0.0	Q0JZJ4
-1.799999999999999	-0.0	Q0JZJ5
-2.3100000000000005	0.04374292294791874	Q0JZJ8
-3.3200000000000003	7.600902459542082	Q0JZJ9
1.240000000000002	-0.0	Q0JZK0
-0.620000000000001	-0.0	Q0JZK1
-1.7399999999999984	-0.0	Q0JZK7
-2.4999999999999982	0.6643653791344933	Q0JZK8
-0.2900000000000027	-0.0	Q0JZL0
-2.5599999999999987	0.9856408100089483	Q0JZL6
-1.3099999999999987	-0.0	Q0JZL7
-6.0	9.210340371976182	Q0JZM1
0.6900000000000013	-0.0	Q0JZM2
-0.620000000000001	-0.0	Q0JZM3
-1.8100000000000005	-0.0	Q0JZM4
1.1999999999999993	-0.0	Q0JZM8
0.129999999999999	-0.0	Q0JZN4
0.41000000000000014	-0.0	Q0JZP1
0.6699999999999999	-0.0	Q0JZP2
-0.1999999999999993	-0.0	Q0JZP3
0.2599999999999998	-0.0	Q0JZP4
0.6899999999999995	-0.0	Q0JZQ5
-0.3200000000000003	-0.0	Q0JZQ8
0.0	-0.0	Q0JZR2
-1.1199999999999974	-0.0	Q0JZR9
-1.5299999999999994	-0.0	Q0JZS1
-0.9999999999999982	-0.0	Q0JZS3
0.360000000000003	-0.0	Q0JZS4
-0.46999999999999886	-0.0	Q0JZS5
-0.6900000000000013	-0.0	Q0JZS9
0.11999999999999744	-0.0	Q0JZT9
-0.23000000000000043	-0.0	Q0JZU1
-1.4200000000000017	-0.0	Q0JZU2
-0.29999999999999716	-0.0	Q0JZU4;Q0K2Z6
-0.5600000000000005	-0.0	Q0JZU5;Q0K2Z9
-0.23000000000000043	-0.0	Q0JZU6
0.39000000000000057	-0.0	Q0JZU7
-0.990000000000002	-0.0	Q0JZU8
-0.2700000000000031	-0.0	Q0JZU9
-1.709999999999999	-0.0	Q0JZV0
-4.9	9.210340371976182	Q0JZV8
-0.4299999999999997	-0.0	Q0JZW1
0.46999999999999886	-0.0	Q0JZW3
-1.2799999999999994	-0.0	Q0JZX0
-1.9600000000000009	-0.0	Q0JZX2
-1.1600000000000001	-0.0	Q0JZY1
0.08000000000000185	-0.0	Q0JZY3
2.9599999999999973	4.034190639402354	Q0JZZ8
-0.6700000000000017	-0.0	Q0K003
0.39000000000000057	-0.0	Q0K016
0.05000000000000071	-0.0	Q0K029
-0.23000000000000043	-0.0	Q0K030
-0.4900000000000002	-0.0	Q0K038
-0.07000000000000028	-0.0	Q0K039
-1.0100000000000016	-0.0	Q0K056
-0.3200000000000003	-0.0	Q0K064
-1.3599999999999994	-0.0	Q0K066
-1.0099999999999998	-0.0	Q0K091
-0.5199999999999996	-0.0	Q0K099
-0.4499999999999993	-0.0	Q0K0A0
-0.28999999999999915	-0.0	Q0K0A5
-1.259999999999998	-0.0	Q0K0A7
-0.4299999999999997	-0.0	Q0K0C1
-0.40000000000000213	-0.0	Q0K0C2
-0.8000000000000007	-0.0	Q0K0C7
-0.5399999999999991	-0.0	Q0K0C9
-1.3499999999999996	-0.0	Q0K0D5
-1.3300000000000018	-0.0	Q0K0E0
-0.15000000000000213	-0.0	Q0K0G0
-2.380000000000001	0.19407030382850268	Q0K0G3
-0.120000000000001	-0.0	Q0K0G7
0.0	-0.0	Q0K0G8
-1.120000000000001	-0.0	Q0K0G9
-0.05000000000000071	-0.0	Q0K0H1
-0.25	-0.0	Q0K0H9
-3.460000000000001	9.210340371976182	Q0K0I1
-0.05999999999999872	-0.0	Q0K0I4
-0.03999999999999915	-0.0	Q0K0I8
-0.7900000000000009	-0.0	Q0K0I9
-1.6499999999999986	-0.0	Q0K0J0
0.5800000000000018	-0.0	Q0K0J2
-0.29999999999999893	-0.0	Q0K0L6
-1.0600000000000023	-0.0	Q0K0L7
-2.030000000000001	-0.0	Q0K0L8
-1.7300000000000004	-0.0	Q0K0L9
-0.4400000000000013	-0.0	Q0K0M5
-0.3999999999999986	-0.0	Q0K0M9
-0.10000000000000142	-0.0	Q0K0N2
-0.3200000000000003	-0.0	Q0K0N6
-1.4399999999999995	-0.0	Q0K0N8
-0.05000000000000071	-0.0	Q0K0P0
3.4700000000000006	9.210340371976182	Q0K0P2
-0.6999999999999993	-0.0	Q0K0P4
0.370000000000001	-0.0	Q0K0P5
0.7200000000000006	-0.0	Q0K0P6
-0.15000000000000036	-0.0	Q0K0P7
-0.10999999999999943	-0.0	Q0K0P8
-2.2699999999999996	0.018469516283661322	Q0K0P9
-0.2699999999999996	-0.0	Q0K0Q0
0.13000000000000256	-0.0	Q0K0Q3
0.6500000000000004	-0.0	Q0K0Q4
2.110000000000001	-0.0	Q0K0Q5
0.3200000000000003	-0.0	Q0K0Q9
-1.7200000000000006	-0.0	Q0K0R0
-2.2399999999999984	0.005716306996109192	Q0K0R1
0.8200000000000021	-0.0	Q0K0T9
0.23000000000000043	-0.0	Q0K0U2
0.21000000000000085	-0.0	Q0K0U3
-0.21999999999999886	-0.0	Q0K0U4
-0.5	-0.0	Q0K0U6
-0.6400000000000006	-0.0	Q0K0U9
-0.8599999999999994	-0.0	Q0K0V2
-0.120000000000001	-0.0	Q0K0V4
-1.370000000000001	-0.0	Q0K0V5
0.1700000000000017	-0.0	Q0K0V6
-0.6099999999999994	-0.0	Q0K0V7
0.13000000000000256	-0.0	Q0K0W1
-2.4300000000000015	0.3625493071313327	Q0K0W3
0.13999999999999702	-0.0	Q0K0W6
-0.28000000000000114	-0.0	Q0K0W9
0.370000000000001	-0.0	Q0K0X0
2.3299999999999983	0.07085174097195114	Q0K0Y7
1.2799999999999994	-0.0	Q0K0Z0
0.8800000000000008	-0.0	Q0K0Z1
0.5499999999999972	-0.0	Q0K0Z2
1.5800000000000018	-0.0	Q0K0Z3
0.0	-0.0	Q0K0Z4
0.5299999999999994	-0.0	Q0K0Z6
1.3500000000000014	-0.0	Q0K100;Q0K2K1
-0.7500000000000018	-0.0	Q0K104
3.1000000000000014	5.403677882205863	Q0K128
-0.4299999999999997	-0.0	Q0K134
4.02	9.210340371976182	Q0K142
3.9800000000000004	9.210340371976182	Q0K144
1.75	-0.0	Q0K148
3.5299999999999994	9.210340371976182	Q0K162
6.380000000000001	9.210340371976182	Q0K165
0.6099999999999994	-0.0	Q0K167
3.459999999999999	9.210340371976182	Q0K168
0.5300000000000011	-0.0	Q0K171
0.40999999999999837	-0.0	Q0K173
-0.6799999999999997	-0.0	Q0K174
0.08999999999999986	-0.0	Q0K175
-0.08999999999999986	-0.0	Q0K176
-1.5999999999999996	-0.0	Q0K177
0.7699999999999996	-0.0	Q0K179
0.11000000000000298	-0.0	Q0K181
-0.030000000000001137	-0.0	Q0K182
-0.5300000000000011	-0.0	Q0K183
0.07000000000000028	-0.0	Q0K184
1.620000000000001	-0.0	Q0K186
0.9800000000000004	-0.0	Q0K187
1.5	-0.0	Q0K188
1.490000000000002	-0.0	Q0K189
2.299999999999999	0.03697523612489531	Q0K190
-0.8500000000000014	-0.0	Q0K1A1
0.4900000000000002	-0.0	Q0K1A6
2.2200000000000006	0.002703651574314823	Q0K1A8
-0.5600000000000005	-0.0	Q0K1B1
-0.030000000000001137	-0.0	Q0K1B5
3.299999999999999	7.418580902748128	Q0K1B6
-0.7299999999999986	-0.0	Q0K1C1
-1.5599999999999987	-0.0	Q0K1C6
-1.0500000000000007	-0.0	Q0K1C9
-0.5500000000000007	-0.0	Q0K1D0;Q0K1B2
-0.7300000000000004	-0.0	Q0K1D1
-1.2300000000000004	-0.0	Q0K1D5
-0.4299999999999997	-0.0	Q0K1E0
-2.009999999999998	-0.0	Q0K1F2
-1.9700000000000024	-0.0	Q0K1F3
-1.0999999999999979	-0.0	Q0K1F4
-0.2400000000000002	-0.0	Q0K1F7
-0.1999999999999993	-0.0	Q0K1G1
0.010000000000001563	-0.0	Q0K1G2
-0.03999999999999915	-0.0	Q0K1G3
-1.1999999999999993	-0.0	Q0K1G6
-0.13000000000000256	-0.0	Q0K1G8
-1.5199999999999996	-0.0	Q0K1H3
0.5800000000000001	-0.0	Q0K1I6
-0.9600000000000009	-0.0	Q0K1I7
-1.379999999999999	-0.0	Q0K1J1
1.950000000000001	-0.0	Q0K1J2
-1.42	-0.0	Q0K1J4
-0.21999999999999886	-0.0	Q0K1J6
0.13000000000000078	-0.0	Q0K1K4
-0.2699999999999996	-0.0	Q0K1N1
-0.16000000000000014	-0.0	Q0K1N3
0.07000000000000028	-0.0	Q0K1N5
1.1199999999999974	-0.0	Q0K1P5
-3.289999999999999	7.264430222920869	Q0K1Q4
0.0	-0.0	Q0K1Q6
3.129999999999999	5.599422459331958	Q0K1Q7
-0.6799999999999997	-0.0	Q0K1R5
-0.6499999999999986	-0.0	Q0K1R7
-0.5700000000000003	-0.0	Q0K1R8
-1.879999999999999	-0.0	Q0K1S1
-1.3399999999999999	-0.0	Q0K1S2
1.0799999999999983	-0.0	Q0K1S3
-2.0599999999999987	-0.0	Q0K1S5
-0.5300000000000011	-0.0	Q0K1S6
-1.4800000000000004	-0.0	Q0K1T4
-2.039999999999999	-0.0	Q0K1T5
-0.35999999999999943	-0.0	Q0K1T6
0.6500000000000004	-0.0	Q0K1U3
-2.6499999999999986	1.5692561228012685	Q0K1U4
-0.9000000000000004	-0.0	Q0K1U5
-0.6599999999999984	-0.0	Q0K1U6
0.7600000000000016	-0.0	Q0K1U7
0.029999999999997584	-0.0	Q0K1U9
-2.969999999999999	4.186459851129906	Q0K1V1
0.3099999999999987	-0.0	Q0K1V3
-1.1900000000000013	-0.0	Q0K1V5
-0.0799999999999983	-0.0	Q0K1V7
-0.7099999999999991	-0.0	Q0K1W7
-0.2799999999999976	-0.0	Q0K1W8
-0.2900000000000009	-0.0	Q0K1W9
1.0599999999999987	-0.0	Q0K1X1
-0.6900000000000013	-0.0	Q0K1X2
-0.8599999999999994	-0.0	Q0K1X3
-0.2400000000000002	-0.0	Q0K1X5
-1.370000000000001	-0.0	Q0K1X6
-0.26000000000000156	-0.0	Q0K1X7
-0.5300000000000011	-0.0	Q0K1Y0
-0.8300000000000018	-0.0	Q0K1Y7
-0.8999999999999986	-0.0	Q0K1Y8
-1.0999999999999979	-0.0	Q0K1Y9
0.05000000000000071	-0.0	Q0K1Z2
3.76	9.210340371976182	Q0K1Z7
-1.0500000000000007	-0.0	Q0K1Z9
-0.2099999999999973	-0.0	Q0K201
-0.870000000000001	-0.0	Q0K202
-0.7800000000000011	-0.0	Q0K203
-1.8800000000000008	-0.0	Q0K206
