log(fold change)	-log(adjusted p)	ProtID
2.839999999999998	3.0683029663888264	O30332
3.820000000000002	9.210340371976182	O30334
4.35	9.210340371976182	O30338
-0.28000000000000114	-0.0	O87816
-0.5400000000000027	-0.0	P14611
-0.5599999999999987	-0.0	P14697
-1.9499999999999993	-0.0	P19911
-1.7100000000000009	-0.0	P19912
-1.4699999999999989	-0.0	P19923
-1.4499999999999993	-0.0	P21725
-0.5700000000000003	-0.0	P23536
0.9499999999999993	-0.0	P23537
-0.21000000000000085	-0.0	P23608
-0.8599999999999994	-0.0	P27745
0.5600000000000023	-0.0	P27746
0.41999999999999815	-0.0	P27749
-1.0399999999999991	-0.0	P28613
-0.35999999999999943	-0.0	P28615
0.33000000000000185	-0.0	P31638;Q0K2Z8
2.1800000000000015	0.0007002451143934259	P31903
-2.0500000000000007	-0.0	P40117
-2.469999999999999	0.5208759596194922	P40118
-0.7900000000000027	-0.0	P40119
-1.5800000000000018	-0.0	P40289
-1.8500000000000014	-0.0	P40852
0.4299999999999997	-0.0	P42722
1.3500000000000014	-0.0	P46368
-1.5800000000000018	-0.0	P50319
-4.940000000000001	9.210340371976182	P50321
-1.4399999999999977	-0.0	P50322
0.509999999999998	-0.0	P52992
-0.9600000000000009	-0.0	P52993
-0.240000000000002	-0.0	Q04539
-1.0399999999999991	-0.0	Q04540
0.129999999999999	-0.0	Q0JY13
0.4800000000000004	-0.0	Q0JY21
-0.6400000000000006	-0.0	Q0JY25
-0.46999999999999886	-0.0	Q0JY26;Q0K136
-0.46000000000000085	-0.0	Q0JY27
-0.4200000000000017	-0.0	Q0JY28
-0.3100000000000023	-0.0	Q0JY29
-1.2699999999999996	-0.0	Q0JY30
1.1099999999999994	-0.0	Q0JY31
0.48999999999999844	-0.0	Q0JY33
-1.2200000000000024	-0.0	Q0JY37
-0.740000000000002	-0.0	Q0JY39
-1.1899999999999977	-0.0	Q0JY40
-0.46999999999999886	-0.0	Q0JY46
-0.7600000000000016	-0.0	Q0JY47
0.19000000000000128	-0.0	Q0JY54
-1.549999999999999	-0.0	Q0JY55
-0.9699999999999989	-0.0	Q0JY57
-0.5400000000000027	-0.0	Q0JY58
0.08999999999999986	-0.0	Q0JY61
-0.5799999999999983	-0.0	Q0JY77
-1.6900000000000013	-0.0	Q0JY78
-3.419999999999998	8.517193191416238	Q0JY82
-2.6899999999999995	1.86175284104859	Q0JY83
0.21999999999999886	-0.0	Q0JY84
3.240000000000002	6.725433722188183	Q0JY90
-0.9800000000000004	-0.0	Q0JY93
-1.0599999999999987	-0.0	Q0JY94
-1.9000000000000021	-0.0	Q0JY96
-0.25	-0.0	Q0JYA1
0.8099999999999987	-0.0	Q0JYB3
-2.5500000000000007	0.8920860431773376	Q0JYB5
-1.7300000000000004	-0.0	Q0JYB9
-3.629999999999999	9.210340371976182	Q0JYC2
0.23999999999999844	-0.0	Q0JYC4
0.21999999999999886	-0.0	Q0JYD5
0.20000000000000284	-0.0	Q0JYD6
-1.3400000000000016	-0.0	Q0JYF1
-1.639999999999997	-0.0	Q0JYF3
-3.4399999999999995	8.517193191416238	Q0JYF5
-4.639999999999997	9.210340371976182	Q0JYF8
-4.370000000000001	9.210340371976182	Q0JYF9
-3.75	9.210340371976182	Q0JYG0
-3.0599999999999987	5.083205986931091	Q0JYG1
-5.610000000000001	9.210340371976182	Q0JYG2
-4.1	9.210340371976182	Q0JYG3
-7.440000000000001	9.210340371976182	Q0JYG4
-6.700000000000001	9.210340371976182	Q0JYG5
-5.869999999999999	9.210340371976182	Q0JYG6
-4.780000000000001	9.210340371976182	Q0JYG9
-2.280000000000001	0.023370986323240202	Q0JYH0
-6.220000000000001	9.210340371976182	Q0JYH1
-1.5999999999999979	-0.0	Q0JYH3
-8.88	9.210340371976182	Q0JYH4
-6.959999999999999	9.210340371976182	Q0JYH5
-4.809999999999999	9.210340371976182	Q0JYH6
-6.200000000000001	9.210340371976182	Q0JYH7
-4.309999999999999	9.210340371976182	Q0JYH8
0.08000000000000007	-0.0	Q0JYI3
0.5399999999999991	-0.0	Q0JYI4
1.0900000000000016	-0.0	Q0JYI5
-0.9299999999999997	-0.0	Q0JYI6
-2.080000000000002	-0.0	Q0JYI9
-2.030000000000001	-0.0	Q0JYJ0
-0.4700000000000024	-0.0	Q0JYJ5
0.129999999999999	-0.0	Q0JYJ6
-0.33999999999999986	-0.0	Q0JYJ7
0.16999999999999815	-0.0	Q0JYJ8
0.8800000000000008	-0.0	Q0JYK1
0.370000000000001	-0.0	Q0JYK2
0.46000000000000085	-0.0	Q0JYK7
0.5300000000000011	-0.0	Q0JYK8
-0.7700000000000014	-0.0	Q0JYL4
-0.5800000000000018	-0.0	Q0JYL5
2.5100000000000016	0.6808234308711134	Q0JYN2
