log(fold change)	-log(adjusted p)	ProtID
0.2599999999999998	-0.0	O30332
-1.6399999999999988	-0.0	O30334
-2.3100000000000005	0.04824531262799454	O30338
0.7200000000000024	-0.0	O87816
0.20000000000000284	-0.0	P14611
-0.05000000000000071	-0.0	P14697
0.9899999999999984	-0.0	P19911
0.990000000000002	-0.0	P19912
0.8999999999999986	-0.0	P19923
0.8399999999999999	-0.0	P21725
-0.05000000000000071	-0.0	P23536
-1.049999999999999	-0.0	P23537
1.5600000000000023	-0.0	P23608
2.269999999999998	0.015012120120503621	P27745
-0.2699999999999996	-0.0	P27746
0.4800000000000004	-0.0	P27749
0.1999999999999993	-0.0	P28613
0.10000000000000142	-0.0	P28615
0.7099999999999973	-0.0	P31638;Q0K2Z8
0.0600000000000005	-0.0	P31903
0.259999999999998	-0.0	P40117
0.6799999999999997	-0.0	P40118
0.33000000000000185	-0.0	P40119
0.33000000000000185	-0.0	P40289
-0.00999999999999801	-0.0	P40852
-1.0399999999999991	-0.0	P42722
-0.9400000000000013	-0.0	P46368
0.8300000000000018	-0.0	P50319
1.870000000000001	-0.0	P50321
0.889999999999997	-0.0	P50322
-0.36999999999999744	-0.0	P52992
0.5100000000000016	-0.0	P52993
0.4299999999999997	-0.0	Q04539
0.240000000000002	-0.0	Q04540
0.21999999999999886	-0.0	Q0JY13
0.45000000000000284	-0.0	Q0JY21
-0.3500000000000014	-0.0	Q0JY25
0.129999999999999	-0.0	Q0JY26;Q0K136
-0.00999999999999801	-0.0	Q0JY27
0.25	-0.0	Q0JY28
0.4299999999999997	-0.0	Q0JY29
-1.0599999999999987	-0.0	Q0JY30
-0.46999999999999886	-0.0	Q0JY31
0.08999999999999986	-0.0	Q0JY33
0.6000000000000014	-0.0	Q0JY37
-0.129999999999999	-0.0	Q0JY39
0.9199999999999982	-0.0	Q0JY40
0.9800000000000004	-0.0	Q0JY46
0.5	-0.0	Q0JY47
1.3499999999999996	-0.0	Q0JY54
1.5699999999999985	-0.0	Q0JY55
0.10999999999999943	-0.0	Q0JY57
0.8900000000000006	-0.0	Q0JY58
-0.029999999999997584	-0.0	Q0JY61
-0.020000000000003126	-0.0	Q0JY77
1.4200000000000017	-0.0	Q0JY78
1.7999999999999972	-0.0	Q0JY82
1.009999999999998	-0.0	Q0JY83
-0.259999999999998	-0.0	Q0JY84
0.8099999999999987	-0.0	Q0JY90
0.23999999999999844	-0.0	Q0JY93
0.14999999999999858	-0.0	Q0JY94
0.8300000000000018	-0.0	Q0JY96
0.8800000000000008	-0.0	Q0JYA1
-0.6000000000000014	-0.0	Q0JYB3
2.0	-0.0	Q0JYB5
0.7699999999999996	-0.0	Q0JYB9
2.59	1.1596369905058843	Q0JYC2
-0.29999999999999716	-0.0	Q0JYC4
0.5199999999999996	-0.0	Q0JYD5
-0.11000000000000298	-0.0	Q0JYD6
0.740000000000002	-0.0	Q0JYF1
0.5599999999999987	-0.0	Q0JYF3
0.4499999999999993	-0.0	Q0JYF5
-0.060000000000002274	-0.0	Q0JYF8
0.05000000000000071	-0.0	Q0JYF9
-0.3200000000000003	-0.0	Q0JYG0
0.46999999999999886	-0.0	Q0JYG1
1.3300000000000018	-0.0	Q0JYG2
0.7699999999999996	-0.0	Q0JYG3
0.4800000000000004	-0.0	Q0JYG4
-0.389999999999997	-0.0	Q0JYG5
0.6899999999999977	-0.0	Q0JYG6
0.14999999999999858	-0.0	Q0JYG9
0.14000000000000057	-0.0	Q0JYH0
0.8399999999999999	-0.0	Q0JYH1
1.389999999999997	-0.0	Q0JYH3
1.0199999999999996	-0.0	Q0JYH4
-0.019999999999999574	-0.0	Q0JYH5
0.1999999999999993	-0.0	Q0JYH6
0.16000000000000014	-0.0	Q0JYH7
-0.7100000000000009	-0.0	Q0JYH8
1.5899999999999999	-0.0	Q0JYI3
-0.33999999999999986	-0.0	Q0JYI4
-0.4900000000000002	-0.0	Q0JYI5
0.28000000000000114	-0.0	Q0JYI6
0.5400000000000027	-0.0	Q0JYI9
0.21000000000000085	-0.0	Q0JYJ0
0.030000000000001137	-0.0	Q0JYJ5
0.21000000000000085	-0.0	Q0JYJ6
0.2699999999999996	-0.0	Q0JYJ7
-0.6099999999999994	-0.0	Q0JYJ8
0.009999999999999787	-0.0	Q0JYK1
-0.2699999999999996	-0.0	Q0JYK2
-1.3500000000000014	-0.0	Q0JYK7
1.0799999999999983	-0.0	Q0JYK8
0.6600000000000019	-0.0	Q0JYL4
0.08000000000000185	-0.0	Q0JYL5
-1.3399999999999999	-0.0	Q0JYN2
-2.380000000000001	0.17078832098028163	Q0JYN9
1.8000000000000007	-0.0	Q0JYR6
-0.5599999999999987	-0.0	Q0JYS0
3.1400000000000006	5.809142990314028	Q0JYS3
-0.8400000000000016	-0.0	Q0JYS5
1.2099999999999973	-0.0	Q0JYS8
0.9399999999999995	-0.0	Q0JYT4
-0.23999999999999844	-0.0	Q0JYT8
1.9299999999999997	-0.0	Q0JYV4
0.019999999999999574	-0.0	Q0JYW5
1.299999999999999	-0.0	Q0JYW8
-0.6499999999999986	-0.0	Q0JYX6;Q7WX71
-0.05999999999999872	-0.0	Q0JYY6
0.8099999999999987	-0.0	Q0JYY7
0.3100000000000023	-0.0	Q0JYZ2
0.120000000000001	-0.0	Q0JZ03
0.07000000000000028	-0.0	Q0JZ04
1.4700000000000006	-0.0	Q0JZ06
-0.08999999999999986	-0.0	Q0JZ10
0.3000000000000007	-0.0	Q0JZ13
1.7400000000000002	-0.0	Q0JZ26
0.5499999999999989	-0.0	Q0JZ29
0.2799999999999976	-0.0	Q0JZ36
1.6799999999999997	-0.0	Q0JZ37
-0.019999999999999574	-0.0	Q0JZ38
0.5299999999999976	-0.0	Q0JZ39
-0.3000000000000007	-0.0	Q0JZ40
-0.10999999999999943	-0.0	Q0JZ41
1.2199999999999989	-0.0	Q0JZ43
0.23999999999999844	-0.0	Q0JZ45
0.13999999999999702	-0.0	Q0JZ46
0.08999999999999986	-0.0	Q0JZ47
-0.0600000000000005	-0.0	Q0JZ52
0.3999999999999986	-0.0	Q0JZ56
0.6600000000000001	-0.0	Q0JZ57
-0.9599999999999973	-0.0	Q0JZ58
0.34999999999999787	-0.0	Q0JZ59
1.2300000000000004	-0.0	Q0JZ62
1.2100000000000009	-0.0	Q0JZ63
-0.360000000000003	-0.0	Q0JZ64
0.34999999999999787	-0.0	Q0JZ67
0.9400000000000013	-0.0	Q0JZ70
0.7199999999999989	-0.0	Q0JZ72
0.09999999999999787	-0.0	Q0JZ73
0.33999999999999986	-0.0	Q0JZ74
0.9500000000000011	-0.0	Q0JZ76
-1.3499999999999996	-0.0	Q0JZ79
0.0	-0.0	Q0JZ80
-0.5700000000000003	-0.0	Q0JZ93
0.5299999999999994	-0.0	Q0JZ94
-0.48999999999999844	-0.0	Q0JZ99
0.45000000000000284	-0.0	Q0JZA3
1.7300000000000004	-0.0	Q0JZA4
0.6400000000000006	-0.0	Q0JZA6
0.9099999999999984	-0.0	Q0JZB4
-1.1799999999999997	-0.0	Q0JZC6
-1.339999999999998	-0.0	Q0JZC8
0.7900000000000009	-0.0	Q0JZF5
-0.18999999999999773	-0.0	Q0JZF8
0.29999999999999716	-0.0	Q0JZG0
0.1399999999999988	-0.0	Q0JZG5
0.9600000000000009	-0.0	Q0JZG6
1.570000000000002	-0.0	Q0JZG7
-0.28000000000000114	-0.0	Q0JZH1
0.14999999999999858	-0.0	Q0JZI5
2.6799999999999997	1.7957674906255938	Q0JZJ2
1.0700000000000003	-0.0	Q0JZJ3
-0.10999999999999943	-0.0	Q0JZJ4
0.870000000000001	-0.0	Q0JZJ5
0.2799999999999976	-0.0	Q0JZJ8
0.4499999999999993	-0.0	Q0JZJ9
1.5400000000000027	-0.0	Q0JZK0
0.5100000000000016	-0.0	Q0JZK1
0.23000000000000043	-0.0	Q0JZK7
0.490000000000002	-0.0	Q0JZK8
0.9099999999999966	-0.0	Q0JZL0
0.5100000000000016	-0.0	Q0JZL6
1.6700000000000017	-0.0	Q0JZL7
0.6199999999999974	-0.0	Q0JZM1
-0.0799999999999983	-0.0	Q0JZM2
0.9499999999999993	-0.0	Q0JZM3
0.16000000000000014	-0.0	Q0JZM4
0.75	-0.0	Q0JZM8
-1.0000000000000018	-0.0	Q0JZN4
0.6700000000000017	-0.0	Q0JZP1
0.049999999999998934	-0.0	Q0JZP2
-0.019999999999999574	-0.0	Q0JZP3
-0.25	-0.0	Q0JZP4
1.5099999999999998	-0.0	Q0JZQ5
0.28000000000000114	-0.0	Q0JZQ8
0.03999999999999915	-0.0	Q0JZR2
-0.17999999999999972	-0.0	Q0JZR9
-1.1399999999999988	-0.0	Q0JZS1
-2.1999999999999993	0.0014009809156281003	Q0JZS3
0.8200000000000003	-0.0	Q0JZS4
0.1700000000000017	-0.0	Q0JZS5
0.019999999999999574	-0.0	Q0JZS9
-0.7900000000000009	-0.0	Q0JZT9
-2.1800000000000015	0.0007002451143934259	Q0JZU1
-2.030000000000001	-0.0	Q0JZU2
-0.4299999999999997	-0.0	Q0JZU4;Q0K2Z6
-0.40000000000000036	-0.0	Q0JZU5;Q0K2Z9
0.17999999999999972	-0.0	Q0JZU6
4.5699999999999985	9.210340371976182	Q0JZU7
1.1699999999999982	-0.0	Q0JZU8
-0.990000000000002	-0.0	Q0JZU9
-0.17999999999999972	-0.0	Q0JZV0
0.9499999999999993	-0.0	Q0JZV8
0.25	-0.0	Q0JZW1
1.2999999999999972	-0.0	Q0JZW3
0.6799999999999997	-0.0	Q0JZX0
0.6499999999999986	-0.0	Q0JZX2
2.3099999999999987	0.04971559224593286	Q0JZY1
0.3500000000000014	-0.0	Q0JZY3
2.7399999999999984	2.2643263808769554	Q0JZZ8
-0.14999999999999858	-0.0	Q0K003
0.46000000000000085	-0.0	Q0K016
-0.13999999999999702	-0.0	Q0K029
-0.11999999999999744	-0.0	Q0K030
1.6900000000000013	-0.0	Q0K038
1.1399999999999988	-0.0	Q0K039
2.0700000000000003	-0.0	Q0K056
1.4500000000000028	-0.0	Q0K064
0.019999999999999574	-0.0	Q0K066
-0.509999999999998	-0.0	Q0K091
-0.129999999999999	-0.0	Q0K099
0.5300000000000011	-0.0	Q0K0A0
-0.21999999999999886	-0.0	Q0K0A5
-0.1999999999999993	-0.0	Q0K0A7
0.7100000000000009	-0.0	Q0K0C1
0.4399999999999977	-0.0	Q0K0C2
0.6000000000000014	-0.0	Q0K0C7
0.21999999999999886	-0.0	Q0K0C9
-0.13000000000000078	-0.0	Q0K0D5
0.03999999999999915	-0.0	Q0K0E0
-0.030000000000001137	-0.0	Q0K0G0
0.05000000000000071	-0.0	Q0K0G3
0.5500000000000007	-0.0	Q0K0G7
0.5800000000000018	-0.0	Q0K0G8
-0.4399999999999995	-0.0	Q0K0G9
0.5500000000000007	-0.0	Q0K0H1
0.6300000000000008	-0.0	Q0K0H9
0.09999999999999964	-0.0	Q0K0I1
-0.8100000000000005	-0.0	Q0K0I4
-0.4300000000000015	-0.0	Q0K0I8
-0.16999999999999993	-0.0	Q0K0I9
0.7700000000000031	-0.0	Q0K0J0
0.3100000000000023	-0.0	Q0K0J2
0.6900000000000013	-0.0	Q0K0L6
